sg_uf,nm_municipio,nr_candidato,qt_votos_nominais,dt_carga
AL,BRANQUINHA,16,1,2022-11-25 18:45:37
AL,BRANQUINHA,21,3,2022-11-25 18:45:37
AL,BRANQUINHA,22,1471,2022-11-25 18:45:37
AL,BRANQUINHA,27,1,2022-11-25 18:45:37
AL,BRANQUINHA,30,2,2022-11-25 18:45:37
AL,BRANQUINHA,44,14,2022-11-25 18:45:37
AL,BRANQUINHA,80,1,2022-11-25 18:45:37
AL,CACIMBINHAS,12,125,2022-11-25 18:45:37
AL,CACIMBINHAS,13,4189,2022-11-25 18:45:37
AL,CACIMBINHAS,14,5,2022-11-25 18:45:37
AL,CACIMBINHAS,15,306,2022-11-25 18:45:37
AL,CACIMBINHAS,16,0,2022-11-25 18:45:37
AL,CACIMBINHAS,21,2,2022-11-25 18:45:37
AL,CACIMBINHAS,22,1310,2022-11-25 18:45:37
AL,CACIMBINHAS,27,1,2022-11-25 18:45:37
AL,CACIMBINHAS,30,7,2022-11-25 18:45:37
AL,CACIMBINHAS,44,10,2022-11-25 18:45:37
AL,CACIMBINHAS,80,0,2022-11-25 18:45:37
AL,CAJUEIRO,12,208,2022-11-25 18:45:37
AL,CAJUEIRO,13,6482,2022-11-25 18:45:37
AL,CAJUEIRO,14,19,2022-11-25 18:45:37
AL,CAJUEIRO,15,385,2022-11-25 18:45:37
AL,CAJUEIRO,16,2,2022-11-25 18:45:37
AL,CAJUEIRO,21,3,2022-11-25 18:45:37
AL,CAJUEIRO,22,2840,2022-11-25 18:45:37
AL,CAJUEIRO,27,0,2022-11-25 18:45:37
AL,CAJUEIRO,30,7,2022-11-25 18:45:37
AL,CAJUEIRO,44,60,2022-11-25 18:45:37
AL,CAJUEIRO,80,0,2022-11-25 18:45:37
AL,CAMPESTRE,12,108,2022-11-25 18:45:37
AL,CAMPESTRE,13,2685,2022-11-25 18:45:37
AL,CAMPESTRE,14,6,2022-11-25 18:45:37
AL,CAMPESTRE,15,149,2022-11-25 18:45:37
AL,CAMPESTRE,16,0,2022-11-25 18:45:37
AL,CAMPESTRE,21,0,2022-11-25 18:45:37
AL,CAMPESTRE,22,1074,2022-11-25 18:45:37
AL,CAMPESTRE,27,2,2022-11-25 18:45:37
AL,CAMPESTRE,30,2,2022-11-25 18:45:37
AL,CAMPESTRE,44,16,2022-11-25 18:45:37
AL,CAMPESTRE,80,2,2022-11-25 18:45:37
AL,CAMPO ALEGRE,12,349,2022-11-25 18:45:37
AL,CAMPO ALEGRE,13,11834,2022-11-25 18:45:37
AL,CAMPO ALEGRE,14,24,2022-11-25 18:45:37
AL,CAMPO ALEGRE,15,368,2022-11-25 18:45:37
AL,CAMPO ALEGRE,16,1,2022-11-25 18:45:37
AL,CAMPO ALEGRE,21,3,2022-11-25 18:45:37
AL,CAMPO ALEGRE,22,5279,2022-11-25 18:45:37
AL,CAMPO ALEGRE,27,1,2022-11-25 18:45:37
AL,CAMPO ALEGRE,30,18,2022-11-25 18:45:37
AL,CAMPO ALEGRE,44,189,2022-11-25 18:45:37
AL,CAMPO ALEGRE,80,1,2022-11-25 18:45:37
AL,CAMPO GRANDE,12,131,2022-11-25 18:45:37
AL,CAMPO GRANDE,13,5082,2022-11-25 18:45:37
AL,CAMPO GRANDE,14,7,2022-11-25 18:45:37
AL,CAMPO GRANDE,15,187,2022-11-25 18:45:37
AL,CAMPO GRANDE,16,1,2022-11-25 18:45:37
AL,CAMPO GRANDE,21,2,2022-11-25 18:45:37
AL,CAMPO GRANDE,22,1136,2022-11-25 18:45:37
AL,CAMPO GRANDE,27,0,2022-11-25 18:45:37
AL,CAMPO GRANDE,30,1,2022-11-25 18:45:37
AL,CAMPO GRANDE,44,15,2022-11-25 18:45:37
AL,CAMPO GRANDE,80,0,2022-11-25 18:45:37
AL,CANAPI,12,190,2022-11-25 18:45:37
AL,CANAPI,13,7512,2022-11-25 18:45:37
AL,CANAPI,14,4,2022-11-25 18:45:37
AL,CANAPI,15,263,2022-11-25 18:45:37
AL,CANAPI,16,1,2022-11-25 18:45:37
AL,CANAPI,21,1,2022-11-25 18:45:37
AL,CANAPI,22,1239,2022-11-25 18:45:37
AL,CANAPI,27,0,2022-11-25 18:45:37
AL,CANAPI,30,4,2022-11-25 18:45:37
AL,CANAPI,44,87,2022-11-25 18:45:37
AL,CANAPI,80,3,2022-11-25 18:45:37
AL,CAPELA,12,180,2022-11-25 18:45:37
AL,CAPELA,13,5477,2022-11-25 18:45:37
AL,CAPELA,14,14,2022-11-25 18:45:37
AL,CAPELA,15,384,2022-11-25 18:45:37
AL,CAPELA,16,1,2022-11-25 18:45:37
AL,CAPELA,21,1,2022-11-25 18:45:37
AL,CAPELA,22,3392,2022-11-25 18:45:37
AL,CAPELA,27,1,2022-11-25 18:45:37
AL,CAPELA,30,7,2022-11-25 18:45:37
AL,CAPELA,44,23,2022-11-25 18:45:37
AL,CAPELA,80,1,2022-11-25 18:45:37
AL,CARNEIROS,12,102,2022-11-25 18:45:37
AL,CARNEIROS,13,3945,2022-11-25 18:45:37
AL,CARNEIROS,14,4,2022-11-25 18:45:37
AL,CARNEIROS,15,239,2022-11-25 18:45:37
AL,CARNEIROS,16,3,2022-11-25 18:45:37
AL,CARNEIROS,21,0,2022-11-25 18:45:37
AL,CARNEIROS,22,726,2022-11-25 18:45:37
AL,CARNEIROS,27,0,2022-11-25 18:45:37
AL,CARNEIROS,30,6,2022-11-25 18:45:37
AL,CARNEIROS,44,14,2022-11-25 18:45:37
AL,CARNEIROS,80,2,2022-11-25 18:45:37
AL,CHÃ PRETA,12,63,2022-11-25 18:45:37
AL,CHÃ PRETA,13,3193,2022-11-25 18:45:37
AL,CHÃ PRETA,14,9,2022-11-25 18:45:37
AL,CHÃ PRETA,15,178,2022-11-25 18:45:37
AL,CHÃ PRETA,16,0,2022-11-25 18:45:37
AL,CHÃ PRETA,21,1,2022-11-25 18:45:37
AL,CHÃ PRETA,22,909,2022-11-25 18:45:37
