,sg_uf,nm_municipio,nr_candidato,qt_votos_primeiro_turno,qt_votos_segundo_turno
469,AL,COLÔNIA LEOPOLDINA,27,2,0
470,AL,COLÔNIA LEOPOLDINA,30,8,0
471,AL,COLÔNIA LEOPOLDINA,44,37,0
472,AL,COLÔNIA LEOPOLDINA,80,3,0
473,AL,COQUEIRO SECO,12,71,0
474,AL,COQUEIRO SECO,13,2367,2270
475,AL,COQUEIRO SECO,14,11,0
476,AL,COQUEIRO SECO,15,177,0
477,AL,COQUEIRO SECO,16,1,0
478,AL,COQUEIRO SECO,21,0,0
479,AL,COQUEIRO SECO,22,1300,1446
480,AL,COQUEIRO SECO,27,0,0
481,AL,COQUEIRO SECO,30,5,0
482,AL,COQUEIRO SECO,44,27,0
483,AL,COQUEIRO SECO,80,0,0
484,AL,CORURIPE,12,738,0
485,AL,CORURIPE,13,13124,12675
486,AL,CORURIPE,14,72,0
487,AL,CORURIPE,15,957,0
488,AL,CORURIPE,16,3,0
489,AL,CORURIPE,21,5,0
490,AL,CORURIPE,22,13580,14497
491,AL,CORURIPE,27,2,0
492,AL,CORURIPE,30,19,0
493,AL,CORURIPE,44,187,0
494,AL,CORURIPE,80,2,0
495,AL,CRAÍBAS,12,334,0
496,AL,CRAÍBAS,13,11172,11494
497,AL,CRAÍBAS,14,10,0
498,AL,CRAÍBAS,15,449,0
499,AL,CRAÍBAS,16,1,0
500,AL,CRAÍBAS,21,4,0
501,AL,CRAÍBAS,22,2625,3062
502,AL,CRAÍBAS,27,1,0
503,AL,CRAÍBAS,30,12,0
504,AL,CRAÍBAS,44,112,0
505,AL,CRAÍBAS,80,1,0
506,AL,DELMIRO GOUVEIA,12,573,0
507,AL,DELMIRO GOUVEIA,13,22645,22688
508,AL,DELMIRO GOUVEIA,14,19,0
509,AL,DELMIRO GOUVEIA,15,783,0
510,AL,DELMIRO GOUVEIA,16,4,0
511,AL,DELMIRO GOUVEIA,21,9,0
512,AL,DELMIRO GOUVEIA,22,4486,5050
513,AL,DELMIRO GOUVEIA,27,6,0
514,AL,DELMIRO GOUVEIA,30,23,0
515,AL,DELMIRO GOUVEIA,44,52,0
516,AL,DELMIRO GOUVEIA,80,3,0
517,AL,DOIS RIACHOS,12,96,0
518,AL,DOIS RIACHOS,13,4778,4705
519,AL,DOIS RIACHOS,14,5,0
520,AL,DOIS RIACHOS,15,248,0
521,AL,DOIS RIACHOS,16,1,0
522,AL,DOIS RIACHOS,21,0,0
523,AL,DOIS RIACHOS,22,1399,1460
524,AL,DOIS RIACHOS,27,0,0
525,AL,DOIS RIACHOS,30,1,0
526,AL,DOIS RIACHOS,44,14,0
527,AL,DOIS RIACHOS,80,1,0
528,AL,ESTRELA DE ALAGOAS,12,157,0
529,AL,ESTRELA DE ALAGOAS,13,6284,6374
530,AL,ESTRELA DE ALAGOAS,14,12,0
531,AL,ESTRELA DE ALAGOAS,15,270,0
532,AL,ESTRELA DE ALAGOAS,16,1,0
533,AL,ESTRELA DE ALAGOAS,21,2,0
534,AL,ESTRELA DE ALAGOAS,22,1077,1201
